name,stem,Adams filtration,shift,h0info,h0target,h1target,h2target,drinfo,drtarget
1,0,0,0,,h0,h1,h2,,
h0,0,1,0,,h0^2,,h0 h2,,
h0^2,0,2,0,,h0^3,,h1^3,,
h0^3,0,3,0,loc,,,,,
h1,1,1,0,,,h1^2,,,
h1^2,2,2,0,,,h1^3,,,
h2,3,1,0,,h0 h2,,h2^2,,
h0 h2,3,2,0,,h1^3,,,,
h1^3,3,3,0,,,,,,
h2^2,6,2,0,,,,h1^2 h3,,
h3,7,1,0,,h0 h3,h1 h3,,,
h0 h3,7,2,0,,h0^2 h3,,,,
h0^2 h3,7,3,0,,h0^3 h3,,,,
h0^3 h3,7,4,0,,,,,,
h1 h3,8,2,0,,,h1^2 h3,,,
c0,8,3,0,,,h1 c0,,,
h1^2 h3,9,3,0,,,,,,
h1 c0,9,4,0,,,,,,
P h1,9,5,0,,,P h1^2,,,
P h1^2,10,6,0,,,P h1^3,,,
P h2,11,5,0,,P h0 h2,,h0^2 d0,,
P h0 h2,11,6,0,,P h1^3,,,,
P h1^3,11,7,0,,,,,,
h3^2,14,2,0,,,,,,
d0,14,4,0,,h0 d0,h1 d0,h0 e0,,
h0 d0,14,5,0,,h0^2 d0,,,,
h0^2 d0,14,6,0,,,,,,
h0 h4,15,2,0,,h0^2 h4,,h0 h2 h4,3,h0 d0
h0^2 h4,15,3,0,,h0^3 h4,,h1^3 h4,3,h0^2 d0
h0^3 h4,15,4,0,,h0^4 h4,,,,
h1 d0,15,5,-1,,,,,,
h0^4 h4,15,5,1,,h0^5 h4,,,,
h0^5 h4,15,6,0,,h0^6 h4,,,,
h0^6 h4,15,7,0,,h0^7 h4,,,,
h0^7 h4,15,8,0,,,,,,
h1 h4,16,2,0,,,h1^2 h4,,,
P c0,16,7,0,,,P h1 c0,,,
h1^2 h4,17,3,0,,,h1^3 h4,,,
h0 e0,17,5,0,,,,h0 h2 e0,,
P h1 c0,17,8,0,,,,,,
P^2 h1,17,9,0,,,P^2 h1^2,,,
h2 h4,18,2,0,,h0 h2 h4,,h2^2 h4,,
h0 h2 h4,18,3,0,,h1^3 h4,,,,
h1^3 h4,18,4,0,,,,,,
P^2 h1^2,18,10,0,,,P^2 h1^3,,,
c1,19,3,0,,,,h2 c1,,
P^2 h2,19,9,0,,P^2 h0 h2,,,,
P^2 h0 h2,19,10,0,,P^2 h1^3,,,,
P^2 h1^3,19,11,0,,,,,,
g,20,4,0,,h2 e0,h1 g,h2 g,,
h2 e0,20,5,0,,h0 h2 e0,,h0 h2 g,,
h0 h2 e0,20,6,0,,,,,,
h2^2 h4,21,3,0,,,,,,
h1 g,21,5,0,,,,,,
h2 c1,22,4,0,,,,,,
P d0,22,8,0,,,P h1 d0,,,
h4 c0,23,4,0,,,h1 h4 c0,,,
h2 g,23,5,0,,h0 h2 g,,h2^2 g,,
h0 h2 g,23,6,0,,,,,,
P h1 d0,23,9,-1,,,,,,
h0^2 i,23,9,1,,h0^3 i,,,,
h0^3 i,23,10,0,,h0^4 i,,,,
h0^4 i,23,11,0,,h0^5 i,,,,
h0^5 i,23,12,0,,,,,,
h1 h4 c0,24,5,0,,,,,,
P^2 c0,24,11,0,,,P^2 h1 c0,,,
P^2 h1 c0,25,12,0,,,,,,
P^3 h1,25,13,0,,,P^3 h1^2,,,
h2^2 g,26,6,0,,,,,,
P^3 h1^2,26,14,0,,,P^3 h1^3,,,
P^3 h2,27,13,0,,P^3 h0 h2,,P^2 h0^2 d0,,
P^3 h0 h2,27,14,0,,P^3 h1^3,,,,
P^3 h1^3,27,15,0,,,,,,
d0^2,28,8,0,,,h1 d0^2,,,
h1 d0^2,29,9,0,,,,,,
h4^2,30,2,0,,,h1 h4^2,,,
r,30,6,0,,h0 r,,h1 q,3,h1 d0^2
h0 r,30,7,0,,h0^2 r,,,,
h0^2 r,30,8,0,,h0^3 r,,,,
h0^3 r,30,9,0,,h0^4 r,,,,
h0^4 r,30,10,0,,P c0 d0,,,,
P c0 d0,30,11,0,,,,,,
P^2 d0,30,12,0,,P^2 h0 d0,P^2 h1 d0,,,
P^2 h0 d0,30,13,0,,P^2 h0^2 d0,,,,
P^2 h0^2 d0,30,14,0,,,,,,
h1 h4^2,31,3,,,,,,,
h0^3 h5,31,4,0,,h0^4 h5,,,3,h0 r
h0^4 h5,31,5,-1,,h0^5 h5,,,3,h0^2 r
n,31,5,1,,,,h2 n,,
h0^5 h5,31,6,0,,h0^6 h5,,,3,h0^3 r
h0^6 h5,31,7,0,,h0^7 h5,,,3,h0^4 r
h0^7 h5,31,8,-1,,h0^8 h5,,,3,P c0 d0
d0 e0 + h0^7 h5,31,8,1,,h0^8 h5,h1 d0 e0,,4,P^2 d0
h0^8 h5,31,9,0,,h0^9 h5,,,4,P^2 h0 d0
h0^9 h5,31,10,0,,h0^10 h5,,,4,P^2 h0^2 d0
h0^10 h5,31,11,0,,h0^11 h5,,,,
h0^11 h5,31,12,0,,h0^12 h5,,,,
P^2 h1 d0,31,13,-1,,,,,,
h0^12 h5,31,13,1,,h0^13 h5,,,,
h0^13 h5,31,14,0,,h0^14 h5,,,,
h0^14 h5,31,15,0,,h0^15 h5,,,,
h0^15 h5,31,16,0,,,,,,
h1 h5,32,2,0,,,h1^2 h5,,,
d1,32,4,0,,,h1 d1,h2 d1,,
q,32,6,0,,,h1 q,,,
h1 d0 e0,32,9,0,,,,,4,P^2 h1 d0
P^3 c0,32,15,0,,,P^3 h1 c0,,,
h1^2 h5,33,3,0,,,h1^3 h5,,,
p,33,4,0,,h1 d1,,,,
h1 d1,33,5,0,,,,,,
h1 q,33,7,0,,,,,,
P^3 h1 c0,33,16,0,,,,,,
P^4 h1,33,17,0,,,P^4 h1^2,,,
h2 h5,34,2,0,,h0 h2 h5,,h2^2 h5,3,h1 d1
h0 h2 h5,34,3,0,,h1^3 h5,,,,
h1^3 h5,34,4,0,,,,,,
h2 n,34,6,0,,,,h1 T,,
e0^2,34,8,0,,,h1 e0^2,,,
P^4 h1^2,34,18,0,,,P^4 h1^3,,,
h2 d1,35,5,0,,,,h2^2 d1,,
h1 e0^2,35,9,0,,,,,,
P^4 h2,35,17,0,,P^4 h0 h2,,,,
P^4 h0 h2,35,18,0,,P^4 h1^3,,,,
P^4 h1^3,35,19,0,,,,,,
T,36,6,0,,,h1 T,c1 g,,
P d0^2,36,12,0,,,P h1 d0^2,,,
h2^2 h5,37,3,0,,,,h1^2 h3 h5,,
x,37,5,0,,h0 x,h2^2 d1,,,
h0 x,37,6,0,,h0^2 x,,,,
h1 T,37,7,-1,,,,,,
h0^2 x,37,7,1,,,,,,
e0 g,37,8,0,,,h1 e0 g,,4,P d0^2
P h1 d0^2,37,13,0,,,,,,
h3 h5,38,2,0,,h0 h3 h5,h1 h3 h5,,4,h0 x
h0 h3 h5,38,3,0,,h0^2 h3 h5,,,4,h0^2 x
e1,38,4,1,,,h1 e1,h1 f1,3,h1 T
h0^2 h3 h5,38,4,-1,,h0^3 h3 h5,,,,
h0^3 h3 h5,38,5,0,,,,,,
h2^2 d1,38,6,0,,,,,,
h1 e0 g,38,9,0,,,,,4,P h1 d0^2
P^3 d0,38,16,0,,,P^3 h1 d0,,,
h1 h3 h5,39,3,0,,,h1^2 h3 h5,,,
h5 c0,39,4,0,,,h1 h5 c0,,,
h1 e1,39,5,0,,,,,,
c1 g,39,7,0,,,,,,
u,39,9,0,,,h1 u,,,
P d0 e0,39,12,0,,,P h1 d0 e0,,4,P^3 d0
